paperId,title,firstAuthor,nAuthors,year,venue,citationCount,doi,arxiv,pdfUrl,publicationDate
6e5e550be1a707fb2d7e9788fa3c7d854c85a97c,Data Mesh Meets Blockchain,Abdulaziz Almaslukh,7,2024,International Journal of Computational Intelligence Systems,1,10.1007/s44196-024-00404-z,,https://link.springer.com/content/pdf/10.1007/s44196-024-00404-z.pdf,2024-02-07
e7637974b238f6edd732879b9bf3f5c1db881a73,A New Architecture for Decentralized Cybersecurity Mesh (DCSM) Using Blockchain Technology for Distributed Networks,Khalid Al–Hussaini,2,2024,2024 1st International Conference on Emerging Technologies for Dependable Internet of Things (ICETI),1,10.1109/ICETI63946.2024.10777231,,,2024-11-25
7677f089af162183b4549a30bd63ba1da192a6fa,Large Pretrained Foundation Model for Key Performance Indicator Multivariate Time Series Anomaly Detection,Xu Wang,7,2025,IEEE Open Journal of the Computer Society,1,10.1109/OJCS.2024.3521217,,,
40002f84755b9c04c3636b20edce2b8a912c6f44,Cluster-LLM: Adaptive Real-Time Time-Series Anomaly Detection Using LLMs,Bin Zhu,9,2025,2025 IEEE International Annual Conference on Complex Systems and Intelligent Science (CSIS-IAC),1,10.1109/CSIS-IAC65538.2025.11161558,,,2025-05-16
d4ae9a8864a8ed8d00c2e5bb1cb56faee26f8438,Multi variable time-series anomaly detection for intelligent operation and maintenance,Haolin Liu,1,2025,2025 5th International Symposium on Computer Technology and Information Science (ISCTIS),1,10.1109/ISCTIS65944.2025.11065047,,,2025-05-16
7cd4decde5d98826570fa2048f467162e61480b4,Sensitivity of Causal Effect Estimates: A Case Study of Innovative City Project Using the Difference-in-Differences and Synthetic Control Method,Minjun Hong,3,2026,Korean Policy Studies Review,0,10.33900/kaps.2026.35.1.3,,,2026-03-31
a3496f2112feb6a0e80d3b59e416221649ace127,Synthetic control method for evaluating mental public health policies: the case of Yellow September campaign in Brazil.,Lucas Silva,5,2025,Trends in Psychiatry and Psychotherapy,0,10.47626/2237-6089-2024-1031,,https://doi.org/10.47626/2237-6089-2024-1031,2025-05-07
bf409788569b8c60952d8feec6f467e740486c42,COVID-19-related hospitalizations in Italy: an application of the synthetic control method to investigate the trajectory of diagnosis-related group 79 and its counterfactual during 2010–2021,Carlo Lazzaro,3,2025,Expert review of pharmacoeconomics & outcomes research,0,10.1080/14737167.2025.2482661,,,2025-03-21
97dd590ba185d2fdfaeaf3d301dffbbc527578b8,Policy or Circumstances? A Synthetic Control Method for Evaluating Brazil’s Economic Boom Under Lula,Jaeho Jung,2,2025,Economies,0,10.3390/economies13070197,,,2025-07-08
cfb5ae5bfa46787fd55e9dce51c91da8c59e9e61,The Inclusive Synthetic Control Method,R. D. Stefano,2,2024,Social Science Research Network,0,10.2139/ssrn.3737491,2403.17624,https://www.sdu.dk/-/media/files/om_sdu/institutter/ivoe/disc_papers/disc_2020/dpbe14_2020.pdf,2024-03-26
98fa729f9d5d35e1ba9ec5dd48069e0dc6cbe70b,Dynamic Disposal Effect of Free Trade Zone Establishment on Regional Innovation Capability Based on Synthetic Control Method,Derek Doi,1,2026,International Journal of Management and Economics Invention,0,10.47191/ijmei/v12i2.10,,,2026-02-10
5c15d96b5de886103d73222f5cfcbfc94805597d,Emerging Trends in Self-Service BI Platforms: Democratizing Data Insights,Mallikarjun Bussa,1,2025,International Journal of Scientific Research in Computer Science Engineering and Information Technology,0,10.32628/cseit25112400,,,2025-03-09
